Position_Index,sc1_pos_x,sc1_pos_y,sc1_pos_z,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_pos_x,sc2_pos_y,sc2_pos_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_pos_x,sc3_pos_y,sc3_pos_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_pos_x,sc4_pos_y,sc4_pos_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_pos_x,sc5_pos_y,sc5_pos_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_pos_x,sc6_pos_y,sc6_pos_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_pos_x,sc7_pos_y,sc7_pos_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
0,38226000.0,-70081000.0,-6371000.0,2.9672777934086694e-09,5.236780818847845e-09,-4.6739407504248916e-09,41572826.39829,-64659893.67408001,0.0,1.5833432717582042e-09,-3.0556721693492086e-09,2.0423688887217843e-08,36878010.56832,-61761456.98159,-9556500.0,1.3315629645638132e-09,-9.435666846843763e-09,3.387689674104983e-08,46267642.228259996,-67558330.30286,-9556500.0,-2.1772327321811734e-09,5.739876008970576e-09,-2.5862803706201297e-08,38704118.066,-69306556.21185,-5460857.16106,2.346655423018658e-09,4.326716227528694e-09,-2.4197584902599725e-09,38033430.09029,-68892493.83631,-6826071.41947,1.2221099897948964e-09,2.7962189577701084e-09,2.3897284713401407e-09,39374806.04171,-69720618.58739,-6826071.41947,3.2158239355572534e-09,6.769730096323702e-09,-9.445807680295337e-09
1,38483414.14141414,-69694878.78787878,-6371000.0,2.682286879976325e-09,5.121719701526158e-09,-4.187130856769418e-09,41830240.539704144,-64273772.46195879,0.0,1.6487516909795812e-09,-2.768856036425968e-09,2.0804158023590473e-08,37135424.70973414,-61375335.769468784,-9556500.0,1.4258065983516464e-09,-9.455931435482563e-09,3.423911839438145e-08,46525056.36967414,-67172209.09073879,-9556500.0,-2.4830364405747276e-09,5.745269752902564e-09,-2.6100376037303066e-08,38961532.20741414,-68920434.99972878,-5460857.16106,2.101604087773719e-09,4.37760064309371e-09,-1.815239134245314e-09,38290844.231704146,-68506372.62418878,-6826071.41947,1.197816940964506e-09,2.5122743864287196e-09,3.4983880958954903e-09,39632220.18312414,-69334497.37526879,-6826071.41947,2.8027770083743505e-09,6.526987038788519e-09,-9.070370997318354e-09
2,38740828.28282829,-69308757.57575758,-6371000.0,2.425447575158449e-09,5.160960027699525e-09,-3.8643035354499285e-09,42087654.68111829,-63887651.249837585,0.0,1.6668410680805543e-09,-2.542384560389254e-09,2.1442147723591876e-08,37392838.851148285,-60989214.55734758,-9556500.0,1.5180808010076595e-09,-9.48272750861515e-09,3.464849378424095e-08,46782470.51108828,-66786087.878617585,-9556500.0,-2.7648401204044246e-09,5.68872689374551e-09,-2.6246801873279702e-08,39218946.348828286,-68534313.78760758,-5460857.16106,1.82837336956561e-09,3.735978903195849e-09,-2.3926236321641403e-10,38548258.37311829,-68120251.41206758,-6826071.41947,1.1299378119247278e-09,2.2021725542347156e-09,4.705566646525067e-09,39889634.32453828,-68948376.16314758,-6826071.41947,2.4393706917072123e-09,6.33615091760332e-09,-8.711835632441479e-09
3,38998242.42424242,-68922636.36363636,-6371000.0,2.2225350629338127e-09,5.242185356617823e-09,-3.4695002843269285e-09,42345068.82253242,-63501530.03771637,0.0,1.6376114030611102e-09,-2.376257741239088e-09,2.2337657987222265e-08,37650252.99256242,-60603093.34522636,-9556500.0,1.6102292904604801e-09,-9.455633075874913e-09,3.492482340367221e-08,47039884.65250242,-66399966.666496366,-9556500.0,-3.009915704519985e-09,5.596928296074379e-09,-2.6335822481663923e-08,39476360.49024242,-68148192.57548636,-5460857.16106,1.5343013357060454e-09,3.1325869642399123e-09,1.2641313256845828e-09,38805672.514532425,-67734130.19994636,-6826071.41947,1.018472602675533e-09,1.865913461187995e-09,6.011264123229134e-09,40147048.46595242,-68562254.95102637,-6826071.41947,2.1656231987460496e-09,5.774108065375016e-09,-7.444105968352294e-09
4,39255656.565656565,-68536515.15151516,-6371000.0,1.9229319516225862e-09,4.48241398568333e-09,-1.881203243631418e-09,42602482.963946566,-63115408.82559516,0.0,1.5610626959212677e-09,-2.2704755789754354e-09,2.3490688814481377e-08,37907667.133976564,-60216972.13310516,-9556500.0,1.6973774657373938e-09,-9.443469242515306e-09,3.5228872076149244e-08,47297298.79391656,-66013845.45437516,-9556500.0,-3.1828596080227158e-09,5.495687762573643e-09,-2.6245430578009512e-08,39733774.631656565,-67762071.36336516,-5460857.16106,1.247304557071415e-09,2.6370860254576633e-09,2.649821878621519e-09,39063086.65594657,-67348008.98782516,-6826071.41947,8.377454107953014e-10,1.4518041992043209e-09,7.379929815322599e-09,40404462.60736656,-68176133.73890516,-6826071.41947,1.908077225833664e-09,5.348073688017452e-09,-6.360210828141465e-09
5,39513070.70707071,-68150393.93939394,-6371000.0,1.635030825499334e-09,3.845751283501623e-09,-4.520476056666909e-10,42859897.10536071,-62729287.613473944,0.0,1.5283782901219869e-09,-2.117133888875867e-09,2.4235765931938935e-08,38165081.27539071,-59830850.92098394,-9556500.0,1.7795253268384123e-09,-9.446236008536337e-09,3.556063980167207e-08,47554712.935330704,-65627724.242253944,-9556500.0,-3.3592715300043747e-09,5.411105635808624e-09,-2.6245571123800007e-08,39991188.77307071,-67375950.15124394,-5460857.16106,9.673830336616844e-10,2.2494760868490194e-09,3.917809295594662e-09,39320500.79736071,-66961887.77570394,-6826071.41947,5.939692198289837e-10,9.57453281801926e-10,8.559275304412932e-09,40661876.748780705,-67790012.52678394,-6826071.41947,1.6667327729700303e-09,5.058047785530564e-09,-5.460150211808761e-09
6,39770484.84848485,-67764272.72727273,-6371000.0,1.3602891311502427e-09,3.3357245646249684e-09,8.15317304391146e-10,43117311.24677485,-62343166.40135274,0.0,1.5658464406854823e-09,-1.9187794153134248e-09,2.4350142878070718e-08,38422495.41680485,-59444729.70886274,-9556500.0,1.856672873763525e-09,-9.463933373937995e-09,3.592012658024067e-08,47812127.07674485,-65241603.03013274,-9556500.0,-3.5391514704649515e-09,5.343181915779321e-09,-2.6336244119035446e-08,40248602.91448485,-66989828.93912274,-5460857.16106,7.012538759562299e-10,1.9679449873069144e-09,5.073082954783955e-09,39577914.938774854,-66575766.56358273,-6826071.41947,5.573227208248793e-10,5.574975038671378e-10,9.717273028668877e-09,40919290.89019485,-67403891.31466274,-6826071.41947,1.4415898401551711e-09,4.904030357914403e-09,-4.743924119354367e-09
7,40027898.98989899,-67378151.51515152,-6371000.0,1.0987068685752825e-09,2.952333829053282e-09,1.9208914865423546e-09,43374725.38818899,-61957045.18923152,0.0,1.6524794089567122e-09,-1.6735646821163862e-09,2.4005049040583057e-08,38679909.558218986,-59058608.49674152,-9556500.0,1.9288201065127437e-09,-9.496561338720293e-09,3.630733241185506e-08,48069541.21815898,-64855481.81801152,-9556500.0,-3.6961608119816206e-09,5.22577003288658e-09,-2.6386771732373452e-08,40506017.05589899,-66603707.72700152,-5460857.16106,6.713129032096575e-10,1.6516211649134774e-09,6.454112009447104e-09,39835329.08018899,-66189645.351461515,-6826071.41947,5.119850651167395e-10,1.4812070369492335e-10,1.1029687264424909e-08,41176705.031608984,-67017770.10254152,-6826071.41947,1.1179567896002793e-09,4.6391707052127574e-09,-4.0114168287185354e-09
8,40285313.13131313,-66992030.303030305,-6371000.0,8.545019476887719e-10,2.6918675536534493e-09,2.8744965402863296e-09,43632139.52960313,-61570923.97711031,0.0,1.7167041187814296e-09,-1.439524702346952e-09,2.3921200220495078e-08,38937323.69963313,-58672487.28462031,-9556500.0,2.0017584308777745e-09,-9.50370466386032e-09,3.662895858306472e-08,48326955.359573126,-64469360.60589031,-9556500.0,-3.809165274990877e-09,5.030927967635716e-09,-2.6363897093553254e-08,40763431.19731313,-66217586.51488031,-5460857.16106,6.11091603939123e-10,1.295671562861977e-09,8.02734936773835e-09,40092743.22160313,-65803524.139340304,-6826071.41947,4.579562527045763e-10,-2.7067711871463503e-10,1.2496518011680768e-08,41434119.17302313,-66631648.89042031,-6826071.41947,8.906236887756243e-10,3.956466063745772e-09,-2.3406860258341e-09
9,40542727.27272727,-66605909.09090909,-6371000.0,8.087674109593518e-10,2.307359757149307e-09,4.300128272072672e-09,43889553.671017274,-61184802.7649891,0.0,1.7585205701596276e-09,-1.216659476005135e-09,2.4098596417806882e-08,39194737.84104727,-58286366.0724991,-9556500.0,2.0806635553564288e-09,-9.465012303186346e-09,3.6903835957471275e-08,48584369.50098727,-64083239.3937691,-9556500.0,-3.920630856661302e-09,4.87674828820798e-09,-2.6510913100517983e-08,41020845.33872727,-65831465.302759096,-5460857.16106,5.135028495467088e-10,8.897181966098501e-10,9.765178819690908e-09,40350157.363017276,-65417402.92721909,-6826071.41947,3.952362835883847e-10,-6.988959633615695e-10,1.4117765270436556e-08,41691533.31443727,-66245527.6782991,-6826071.41947,6.781979980475369e-10,3.3549505834731043e-09,-7.96543142430907e-10
