Timeframe,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
1400,6.911573900349981e-09,-8.233193402637946e-09,1.6722781707969308e-08,3.8222143745787305e-09,-5.463383216298747e-09,2.7773548704251385e-08,3.2015869313182286e-09,-1.020030157648706e-08,3.4926933594225456e-08,7.031200290233389e-09,5.358277100779421e-09,-8.898375484114612e-09,6.023316140436117e-09,-8.03993671196135e-09,1.922392070340461e-08,6.275935601092678e-09,-8.977784496914641e-09,2.2905704327496284e-08,7.666551988029646e-09,-8.92276926722293e-09,1.549043430772715e-08
1401,6.467186600601379e-09,-8.326173973170533e-09,1.7275417028390087e-08,3.9192724995563345e-09,-5.524240509351433e-09,2.7334970982374376e-08,3.063311858320004e-09,-1.0377422084311375e-08,3.4948413539876347e-08,6.647874963504383e-09,6.026937943288188e-09,-9.53651994657617e-09,5.625393529587085e-09,-8.141160585062456e-09,1.9643489751385857e-08,5.7189151277693515e-09,-9.221442331823033e-09,2.31488303649442e-08,7.236318216736731e-09,-8.985313094220677e-09,1.595146718926356e-08
1402,6.060155349572951e-09,-8.402351752410482e-09,1.7774814761236235e-08,4.018588626153924e-09,-5.565809308830291e-09,2.673760749457111e-08,2.9159524338021617e-09,-1.0547192728823142e-08,3.497340774066779e-08,6.219812119136315e-09,6.687845796587597e-09,-1.0289327799289553e-08,5.251315266865426e-09,-8.24926524750328e-09,2.0059645161304433e-08,5.190867875929784e-09,-9.441880154482004e-09,2.33796831696655e-08,6.821006416347353e-09,-9.037803291955473e-09,1.635870950712969e-08
1403,5.688925115072302e-09,-8.475415944947211e-09,1.8239729786164785e-08,4.108865705661724e-09,-5.583975656859813e-09,2.5985750538322914e-08,2.764725976194088e-09,-1.0704818031329595e-08,3.501158558588516e-08,5.777557018772495e-09,7.298488025335623e-09,-1.112503024070206e-08,4.9007120211339364e-09,-8.363507923022092e-09,2.0468504662993414e-08,4.6869003812626135e-09,-9.642556997809856e-09,2.3601592652173386e-08,6.414194344256199e-09,-9.08375003341714e-09,1.671601917194204e-08
1404,5.340135357503438e-09,-8.550162542570891e-09,1.867997191265763e-08,4.178883895532229e-09,-5.580053999636459e-09,2.5079061141566567e-08,2.607388927726684e-09,-1.0850296361067803e-08,3.506631053654412e-08,5.345679790752675e-09,7.831019444405036e-09,-1.2023640588253195e-08,4.5758412627457446e-09,-8.482235893193164e-09,2.0854616219487506e-08,4.209603674971233e-09,-9.83055825940838e-09,2.3807312157178057e-08,6.0068155238454916e-09,-9.117455675035756e-09,1.7015219319909403e-08
1405,5.007669778616354e-09,-8.625485485455513e-09,1.908617163194583e-08,4.216450204517665e-09,-5.555028617505953e-09,2.403467303522804e-08,2.4428067408121165e-09,-1.0977946176452837e-08,3.513133738490315e-08,4.947641555329336e-09,8.260788489448771e-09,-1.2950833223503415e-08,4.283111969322531e-09,-8.601280435615216e-09,2.118635012789188e-08,3.772364179752633e-09,-1.0003986631370491e-08,2.398242361165523e-08,5.602010768396408e-09,-9.12830695073794e-09,1.723176368038795e-08
1406,4.681235939413404e-09,-8.698629052045514e-09,1.944801176770489e-08,4.2128488769236305e-09,-5.507160949391767e-09,2.2849617368187127e-08,2.267849793521539e-09,-1.108250695876949e-08,3.519673079720863e-08,4.585742507462094e-09,8.584091730223064e-09,-1.3910549570539565e-08,4.016594768709076e-09,-8.71702122244152e-09,2.1433046440236625e-08,3.371001639069476e-09,-1.0164902745851226e-08,2.4106708108347553e-08,5.197714138711795e-09,-9.099700201677965e-09,1.7334771214252047e-08
1407,4.36697069982387e-09,-8.762886195754359e-09,1.97282251294669e-08,4.157072734749251e-09,-5.433687793027871e-09,2.1567330212823367e-08,2.0855148513973534e-09,-1.1152318229265321e-08,3.525094112460667e-08,4.2736350150489666e-09,8.790799609171168e-09,-1.4871202232764078e-08,3.772874470060123e-09,-8.81743640940582e-09,2.1547303621075717e-08,3.0040059074240297e-09,-1.0307169442776016e-08,2.4147995487846132e-08,4.805201664910861e-09,-9.014856734842784e-09,1.728141343120272e-08
1408,4.075621969263136e-09,-8.809190332313864e-09,1.9890087967158828e-08,4.040935843250908e-09,-5.338113200776613e-09,2.0255579523466303e-08,1.9003209201650993e-09,-1.1184094461116188e-08,3.528237859525123e-08,4.017581555075061e-09,8.884177615745806e-09,-1.5799643247885573e-08,3.552528449264799e-09,-8.888657414605312e-09,2.1491502169950062e-08,2.671115614209421e-09,-1.042190726435842e-08,2.4082596418132198e-08,4.435565849094048e-09,-8.85180344857051e-09,1.703873177576921e-08
1409,3.804374387028335e-09,-8.821127461360997e-09,1.990199924544662e-08,3.865048405504899e-09,-5.226289901390292e-09,1.8932303031341378e-08,1.7236024341325658e-09,-1.1182656081929584e-08,3.529380275321176e-08,3.803511161691196e-09,8.878677905160587e-09,-1.6700135366067345e-08,3.345222280713131e-09,-8.905364510325892e-09,2.123101551919757e-08,2.3554750059116525e-09,-1.0496344314312925e-08,2.388028279718998e-08,4.081518851062657e-09,-8.573172653731339e-09,1.6570440311318645e-08
1410,3.559987671797083e-09,-8.76989596571183e-09,1.9726876028843102e-08,3.636846884826756e-09,-5.102521131259331e-09,1.7665467722680192e-08,1.5655161631272569e-09,-1.1145707359143692e-08,3.529176402633022e-08,3.6260183766396653e-09,8.79094471167757e-09,-1.754470485199402e-08,3.152277109060802e-09,-8.840834143192713e-09,2.0738834621311572e-08,2.053155162137222e-09,-1.0507247564141769e-08,2.35126820768839e-08,3.751327838236472e-09,-8.147930927546422e-09,1.5853929793283656e-08
1411,3.3440947708368827e-09,-8.619516883293561e-09,1.9338155308248125e-08,3.366272042710069e-09,-4.973220951540458e-09,1.6500781097552443e-08,1.4275564360783417e-09,-1.108174878484303e-08,3.527594716511e-08,3.474348255716329e-09,8.638600198142285e-09,-1.8320213122100024e-08,2.978389068680378e-09,-8.658212751613528e-09,1.999998153054263e-08,1.7597335323263682e-09,-1.0427542612589491e-08,2.2961355713904657e-08,3.453433405332901e-09,-7.547337059621004e-09,1.4883693659361046e-08
1412,3.1579716390118735e-09,-8.332765736656288e-09,1.8729300870662637e-08,3.073280362723834e-09,-4.8452617638209005e-09,1.549161134512766e-08,1.3143961456949703e-09,-1.0999581599827776e-08,3.524621561745468e-08,3.3393248822797993e-09,8.443416745194927e-09,-1.90133761914546e-08,2.8214897432020207e-09,-8.317024039153488e-09,1.9021808342442558e-08,1.475520913868938e-09,-1.0226360723812033e-08,2.222774915121888e-08,3.196568178267537e-09,-6.753902909632647e-09,1.3683442931752623e-08
1413,2.9961545595182677e-09,-7.862827285958434e-09,1.7877294828738326e-08,2.7604154985503e-09,-4.719027238723426e-09,1.464257350204876e-08,1.2256461326415067e-09,-1.0899706840211567e-08,3.5196386015691176e-08,3.207090975068677e-09,8.216178583575702e-09,-1.9644491678877586e-08,2.6765344153770525e-09,-7.760997162082178e-09,1.7784127490445913e-08,1.1981665647888637e-09,-9.866003535079504e-09,2.1289966587459237e-08,2.981181748307952e-09,-5.725670707374019e-09,1.2242316100857859e-08
1414,2.864788575980292e-09,-7.186648491459687e-09,1.6789436235326167e-08,2.4454951431338744e-09,-4.603275133859303e-09,1.3991308473321473e-08,1.1611751936878793e-09,-1.0787320969764741e-08,3.512490843101741e-08,3.06823241870682e-09,7.974932391287355e-09,-2.020931120426211e-08,2.557552237625407e-09,-6.961188102195139e-09,1.6317562453367083e-08,9.445549876201432e-10,-9.329440674938709e-09,2.0157991272754775e-08,2.829909421645213e-09,-4.4719993925647085e-09,1.0605975176346298e-08
1415,2.7680578773576358e-09,-6.315416759472727e-09,1.5496369711386004e-08,2.1437674089648755e-09,-4.500342218112314e-09,1.3551252309777681e-08,1.1203468092902896e-09,-1.066920664382553e-08,3.503948513359755e-08,2.9159071363794265e-09,7.735483999194103e-09,-2.0712258179241208e-08,2.48087014533516e-09,-5.9351085097360545e-09,1.4673734676968376e-08,7.312699219338322e-10,-8.62495618120905e-09,1.8860843442610415e-08,2.7539965586031705e-09,-3.044236097193559e-09,8.837712806916888e-09
1416,2.7048015046851415e-09,-5.2513127579799724e-09,1.3990843001438191e-08,1.8549190370941738e-09,-4.409303023345305e-09,1.331117549128422e-08,1.1008486442938947e-09,-1.054724036979619e-08,3.4941075229123334e-08,2.739346463684648e-09,7.50230447186421e-09,-2.1179251226796785e-08,2.446471349768385e-09,-4.6977688357130755e-09,1.2857406550811779e-08,5.583636883827863e-10,-7.74744346809025e-09,1.7389602173659516e-08,2.7524603958298007e-09,-1.4625863733738623e-09,6.938492531049361e-09
1417,2.6770905053833713e-09,-4.051223146307408e-09,1.2324287977751172e-08,1.5895360378861755e-09,-4.332364555592036e-09,1.3267239140634534e-08,1.098235561193138e-09,-1.0428390680854473e-08,3.483449565855499e-08,2.5357951423331036e-09,7.286810670821227e-09,-2.1614211067813102e-08,2.4550793201497913e-09,-3.3331596892028007e-09,1.0943132444643957e-08,4.379566975473426e-10,-6.737748318461156e-09,1.5791397607775623e-08,2.822906863182218e-09,1.8407823621136433e-10,4.981385458629094e-09
1418,2.6852326847896456e-09,-2.773298357861035e-09,1.0541066134765793e-08,1.3502814854228948e-09,-4.2677110408114605e-09,1.3402029783366334e-08,1.106418482335208e-09,-1.0317901486920061e-08,3.472305194185747e-08,2.3025462805916406e-09,7.095689285295777e-09,-2.2024951140915006e-08,2.504415022981115e-09,-1.9247622965000386e-09,8.995767975919163e-09,3.7668109487160467e-10,-5.6354196061907085e-09,1.4105976370985472e-08,2.956010274074756e-09,1.806956405533081e-09,3.0230108472621812e-09
1419,2.7231162385785966e-09,-1.4992514022996459e-09,8.718896146213355e-09,1.1461431898650923e-09,-4.214051184144784e-09,1.369018072442031e-08,1.1229585819621685e-09,-1.0219095272093424e-08,3.461074254564059e-08,2.042481054932035e-09,6.9329587079723055e-09,-2.2412747353550416e-08,2.5806797285932425e-09,-5.78894880089181e-10,7.104119690852843e-09,3.6248430141141487e-10,-4.504724916933536e-09,1.2407985561210399e-08,3.12977527524302e-09,3.291761642260716e-09,1.1431149128979677e-09
1420,2.784631648396354e-09,-2.532212378362987e-10,6.867065239712662e-09,9.752586178523577e-10,-4.166071849630599e-09,1.4114914581549634e-08,1.1457826428028243e-09,-1.0126842469916117e-08,3.449427903491907e-08,1.7516414229761008e-09,6.7922029513273055e-09,-2.2791261019635126e-08,2.6718472394538322e-09,6.696019202767758e-10,5.278765500621492e-09,3.8692353751893363e-10,-3.361502002200907e-09,1.0711883698233926e-08,3.3243655077302787e-09,4.603303539564921e-09,-6.572250525654281e-10
