Timeframe,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
1340,-6.100021877695601e-09,4.472447525782513e-10,1.821807630913144e-09,8.369288945850016e-09,-1.8864170561264564e-11,4.00970023609947e-10,-9.92496417227491e-09,-9.771477121080719e-10,1.7676610243622903e-09,-1.9955548134463458e-09,6.154020409679758e-10,9.391170204851378e-10,-5.427611382303439e-09,3.5185517892394204e-10,1.8811306916721945e-09,-6.917508319536615e-09,4.173780969153513e-10,2.091018128857918e-09,-5.062150124239577e-09,4.610481239120385e-10,2.0141577845804767e-09
1341,-6.089212574863453e-09,4.2189171728710044e-10,1.976109229150469e-09,8.309486272137829e-09,1.873562433549479e-11,4.775642797523875e-10,-9.977297673573563e-09,-9.907095862720356e-10,1.6718568122292672e-09,-2.460405982858071e-09,6.554490931927596e-10,1.0113322421347696e-09,-5.391843031859556e-09,3.21466040020129e-10,2.028725466094411e-09,-6.850148423953557e-09,3.78475948050754e-10,2.2322631039878783e-09,-5.111284888831818e-09,4.532221010225152e-10,2.160995018474398e-09
1342,-6.071087261826944e-09,3.9126101100876423e-10,2.1273492755262443e-09,8.268845703597073e-09,5.385720705688625e-11,5.274791752712064e-10,-1.0085476815605337e-08,-9.719148221474634e-10,1.5712570756041757e-09,-2.8934544208096936e-09,7.121230133178905e-10,1.1374368138665179e-09,-5.344664433944072e-09,2.8888950274850804e-10,2.174282074981101e-09,-6.7737389746122515e-09,3.3473193906082916e-10,2.3688563033955376e-09,-5.155386866800024e-09,4.444395581233593e-10,2.305019340386824e-09
1343,-6.042181764359848e-09,3.5586375048787015e-10,2.278597458873472e-09,8.25712023219663e-09,8.435844747850733e-11,5.386159242408065e-10,-1.0238942342643523e-08,-9.129500554225553e-10,1.4815133245852502e-09,-3.2808661880535264e-09,7.96504882937212e-10,1.3416053038212117e-09,-5.286507206983531e-09,2.5099145902116535e-10,2.325158964071127e-09,-6.689086931329304e-09,2.832774832752786e-10,2.505814235502535e-09,-5.191342745401461e-09,4.314352396101416e-10,2.4514584088732306e-09
1344,-6.003757615539634e-09,3.1449194277333375e-10,2.434402488083219e-09,8.282850976423057e-09,1.0849597853717911e-10,4.914488385187659e-10,-1.0428453987854704e-08,-8.116559519613497e-10,1.409652481201792e-09,-3.6047253819538423e-09,9.075563309967297e-10,1.6710067529679834e-09,-5.219379985615966e-09,2.0469411325333875e-10,2.494287762476068e-09,-6.603653312557524e-09,2.2346329512885708e-10,2.6538727128943156e-09,-5.219909518305334e-09,4.118447024897473e-10,2.61222788707078e-09
1345,-5.95891661539831e-09,2.6624278354249e-10,2.6085164354245798e-09,8.346470898939727e-09,1.3515179547643117e-10,3.70487962426791e-10,-1.064673825110789e-08,-6.65572825409409e-10,1.3623238192281153e-09,-3.850021298728704e-09,1.0231745634402542e-09,2.147832979230595e-09,-5.144193683144458e-09,1.5593074916556316e-10,2.6980915604775724e-09,-6.526660969490572e-09,1.6006020339488213e-10,2.83045041015237e-09,-5.239728655477606e-09,3.875911258940523e-10,2.8042778202460453e-09
1346,-5.904572240009446e-09,2.1646685562439256e-10,2.8208762324709298e-09,8.439821583975918e-09,1.6518118214113192e-10,1.7066239494398455e-10,-1.0900213052211387e-08,-4.6234875592110805e-10,1.3313503877304859e-09,-4.043387219978135e-09,1.113394673786133e-09,2.715483588397409e-09,-5.055269966810338e-09,1.1331421642942348e-10,2.954519569605048e-09,-6.459147404990403e-09,1.0066947561820588e-10,3.0513894272739894e-09,-5.252196153339321e-09,3.663946810397479e-10,3.0422723954104984e-09
1347,-5.85071882676115e-09,1.7829743801335364e-10,3.0852254408960563e-09,8.548599170108143e-09,1.7911414344364582e-10,-7.52308337959239e-11,-1.1186692313560166e-08,-1.9338732445974264e-10,1.3051608128443703e-09,-4.232741049162228e-09,1.1453365092026943e-09,3.189524154118521e-09,-4.9564887833643574e-09,8.936969483946855e-11,3.2621703867142136e-09,-6.402796791774995e-09,5.688664268927191e-11,3.3201838553820788e-09,-5.2670829923887945e-09,3.5688966827078035e-10,3.3408874687269154e-09
1348,-5.804079143236495e-09,1.5448635296693196e-10,3.397518807404473e-09,8.653540748542631e-09,1.6463344226779294e-10,-3.223034950138351e-10,-1.1483935223184302e-08,7.801952786326143e-11,1.2969637136574655e-09,-4.4260560900626135e-09,1.1164229012161795e-09,3.443063579432552e-09,-4.851890808020675e-09,8.169653573020434e-11,3.588917992935913e-09,-6.365101197868501e-09,2.7600348910464854e-11,3.6106905006042883e-09,-5.2905072182960425e-09,3.6261355185123264e-10,3.6700660315308766e-09
1349,-5.770514440168478e-09,1.537626684559466e-10,3.739586960215344e-09,8.747032417995505e-09,1.2424803696755646e-10,-5.354667534307296e-10,-1.1750537919810874e-08,3.6097700324014835e-10,1.295381143967941e-09,-4.640593822253873e-09,1.037887900027796e-09,3.515839714284344e-09,-4.731020220963628e-09,1.0743545393667079e-10,3.877502728389924e-09,-6.341854214876278e-09,3.6447888500368664e-11,3.870409900513693e-09,-5.331253686163773e-09,3.97779509258588e-10,3.979832322549536e-09
1350,-5.740239967518295e-09,1.955555027099844e-10,4.022727654492138e-09,8.828547218675447e-09,5.084094686528578e-11,-6.611110464723168e-10,-1.1913691491371743e-08,6.49817436368282e-10,1.2855878104071853e-09,-4.919317921810279e-09,9.393505588200805e-10,3.486746761458312e-09,-4.601240567601166e-09,1.9009328833949963e-10,4.06555880104717e-09,-6.331756434981973e-09,1.1044670126937565e-10,4.022469449353338e-09,-5.394619752753169e-09,4.820515348062341e-10,4.180328568328968e-09
1351,-5.722799415665026e-09,2.986053519860771e-10,4.182660176902958e-09,8.904884669345918e-09,-8.217721956795132e-11,-7.007621969736481e-10,-1.196106157710238e-08,9.235349912589165e-10,1.2786718250587669e-09,-5.258587605878847e-09,8.318442847074089e-10,3.3405978288933145e-09,-4.484585922996786e-09,3.466625014894724e-10,4.1418082671498985e-09,-6.349719708027782e-09,2.635091976989408e-10,4.047908351677082e-09,-5.496788896974091e-09,6.403005059095689e-10,4.255390652289092e-09
