Timeframe,sc1_vg_B_x,sc1_vg_B_y,sc1_vg_B_z,sc2_vg_B_x,sc2_vg_B_y,sc2_vg_B_z,sc3_vg_B_x,sc3_vg_B_y,sc3_vg_B_z,sc4_vg_B_x,sc4_vg_B_y,sc4_vg_B_z,sc5_vg_B_x,sc5_vg_B_y,sc5_vg_B_z,sc6_vg_B_x,sc6_vg_B_y,sc6_vg_B_z,sc7_vg_B_x,sc7_vg_B_y,sc7_vg_B_z
1330,-6.145012350007662e-09,3.2538687246205467e-10,1.7756528419352436e-10,-9.021900303430814e-09,7.921913539079018e-10,1.144464800557724e-09,7.170999718616712e-09,1.308125183447228e-10,1.4428673965524346e-10,8.224806653235527e-09,-1.0147013504161259e-09,1.901478042979174e-10,-6.506563873574916e-09,3.6185226785493003e-10,4.269503299144061e-10,-4.6523236016803875e-09,2.8759129760515485e-10,1.9854530469162914e-10,-6.430130864255591e-09,3.741966677459656e-10,3.044363185503818e-10
1331,-6.142362895832685e-09,3.563826959731767e-10,3.2499089073302106e-10,-8.97041261647461e-09,7.867812627128683e-10,1.1980610225369802e-09,7.182044863085161e-09,1.4329253442125285e-10,2.1811734219696729e-10,8.135634975496378e-09,-9.800552592544592e-10,1.6640784805332603e-10,-6.463695548257213e-09,3.923182609130386e-10,5.822791756236517e-10,-4.651936849315363e-09,3.2022406393309466e-10,3.5174747774269415e-10,-6.473626531623872e-09,4.0359887394584174e-10,4.693776940474598e-10
1332,-6.140680154478538e-09,3.8828381490448066e-10,4.794885325788993e-10,-8.930348931604361e-09,7.773289547038918e-10,1.2458984536128711e-09,7.187277249680339e-09,1.5297094976824316e-10,2.925694892972781e-10,8.098001532413366e-09,-9.533796885785087e-10,1.3078231018704489e-10,-6.427209038821998e-09,4.236038779649682e-10,7.453558478888307e-10,-4.662420377028224e-09,3.5212905954302485e-10,5.134064106097042e-10,-6.503437984191862e-09,4.3134302516642364e-10,6.417742251595757e-10
1333,-6.141130282097509e-09,4.1800026068908635e-10,6.393890677958659e-10,-8.902430731321885e-09,7.606912466670815e-10,1.2868173674779662e-09,7.186961389582922e-09,1.6121420356031385e-10,3.708239915095881e-10,8.109851950694206e-09,-9.328450238108681e-10,9.161410767803489e-11,-6.395934854390393e-09,4.516243096678043e-10,9.15632909320895e-10,-4.683282702966043e-09,3.8083700169395363e-10,6.857572963668934e-10,-6.520579432370568e-09,4.530940739934195e-10,8.184042578251643e-10
1334,-6.140220800014132e-09,4.4481962746652014e-10,8.053772226322009e-10,-8.885787314489538e-09,7.332184227422192e-10,1.3203944862707641e-09,7.183059121798024e-09,1.653792009132675e-10,4.5616305897631466e-10,8.166147571918936e-09,-9.145767321049644e-10,6.066866418463253e-11,-6.366453702282318e-09,4.752123667008835e-10,1.0925610027403928e-09,-4.7061355032108085e-09,4.0406861687825034e-10,8.687973754722257e-10,-6.5245440079693615e-09,4.68652600729671e-10,9.95217621403005e-10
1335,-6.133714926975815e-09,4.668443174223301e-10,9.785130655732156e-10,-8.880346849226937e-09,6.856707337304875e-10,1.3524825282692674e-09,7.174548017044341e-09,1.6458593159105566e-10,5.531289794119231e-10,8.258688975397557e-09,-8.961507397098186e-10,4.918568409019053e-11,-6.3393064294443895e-09,4.943892106709673e-10,1.2703666430234425e-09,-4.727671327336384e-09,4.2089992963369854e-10,1.0603466056909636e-09,-6.513543628547888e-09,4.776888551813203e-10,1.1716739825744825e-09
1336,-6.126154069629115e-09,4.789030639347402e-10,1.1527378579830144e-09,-8.881389302583083e-09,6.248885344245512e-10,1.388844138403059e-09,7.159228457502644e-09,1.6175961317764916e-10,6.646070534466603e-10,8.381879329345473e-09,-8.939973595673603e-10,5.8028715090924146e-11,-6.317116758349979e-09,5.064563390003581e-10,1.4454085853864376e-09,-4.753555369121914e-09,4.2717193278990174e-10,1.2524097820811793e-09,-6.48969003775962e-09,4.764508207662282e-10,1.3449166006938193e-09
1337,-6.118453482182205e-09,4.837493195949281e-10,1.3257163905679812e-09,-8.890782957373269e-09,5.60211657132662e-10,1.4334649425165252e-09,7.135987991575252e-09,1.5792761885266225e-10,7.967288033889161e-10,8.531056846477989e-09,-9.109714057050655e-10,9.336724350100249e-11,-6.300966870097759e-09,5.107387911750262e-10,1.6166420316555278e-09,-4.7829351663285525e-09,4.234371940191546e-10,1.439621754696184e-09,-6.45656923869698e-09,4.668868016379493e-10,1.5120962198636528e-09
1338,-6.112494685106391e-09,4.805240264604388e-10,1.494298000548304e-09,-8.910786773561178e-09,4.91257307567981e-10,1.4931482275093353e-09,7.104461651098404e-09,1.4830092872616174e-10,9.515337120636768e-10,8.698887342452981e-09,-9.46244416089315e-10,1.4879159620948688e-10,-6.289650320796933e-09,5.069202134349902e-10,1.7801079900415612e-09,-4.816167717641879e-09,4.116068969701424e-10,1.616812061393781e-09,-6.4138359574286835e-09,4.4792289474007986e-10,1.6714622633151532e-09
1339,-6.106573014200203e-09,4.66971467533547e-10,1.6604294705469094e-09,-8.93618390805779e-09,4.2809211023007073e-10,1.5733908712951058e-09,7.055473116382711e-09,1.198077718179355e-10,1.1377529673500092e-09,8.882195836684806e-09,-1.000770390285319e-09,2.1479508137903713e-10,-6.280952565589212e-09,4.966551878987941e-10,1.9370206863703273e-09,-4.849986150749523e-09,3.9450738780194575e-10,1.7856664963261942e-09,-6.361337956274591e-09,4.1803006796077036e-10,1.8270742086399746e-09
1340,-6.100021877695601e-09,4.472447525782513e-10,1.821807630913144e-09,-8.964284862172041e-09,3.7265306087375304e-10,1.6758442157309985e-09,6.976178308608818e-09,6.94544906247729e-11,1.3608510030308183e-09,9.07394223869016e-09,-1.0698137635356984e-09,2.8521099721499e-10,-6.272339097678619e-09,4.823078351497672e-10,2.086533422477046e-09,-4.882574621529564e-09,3.763005050784494e-10,1.945348407920628e-09,-6.297984229207937e-09,3.7885768078761003e-10,1.976535013288306e-09
1341,-6.089212574863453e-09,4.2189171728710044e-10,1.976109229150469e-09,-8.991523534143007e-09,3.221614582357059e-10,1.8001115212435288e-09,6.859437069632982e-09,2.9039473522154902e-12,1.6192370457582015e-09,9.261744340954538e-09,-1.1563996622145683e-09,3.5405870600245764e-10,-6.261324306808219e-09,4.645174812974634e-10,2.2267550026003088e-09,-4.913735509949831e-09,3.590412931745996e-10,2.0977253604602147e-09,-6.22336946294099e-09,3.350162926440906e-10,2.12013233900462e-09
1342,-6.071087261826944e-09,3.9126101100876423e-10,2.1273492755262443e-09,-9.020855488076562e-09,2.675901660581547e-10,1.9473207518419464e-09,6.696184262225578e-09,-7.852185084266331e-11,1.9212972916843437e-09,9.434784071568177e-09,-1.2729911953795105e-09,4.19527483426306e-10,-6.244431708306142e-09,4.425485471688549e-10,2.3626762252940983e-09,-4.937229184180771e-09,3.417509261620681e-10,2.247505356809761e-09,-6.13577715572545e-09,2.8754802154180963e-10,2.2606956888382313e-09
1343,-6.042181764359848e-09,3.5586375048787015e-10,2.278597458873472e-09,-9.069875406411637e-09,2.1408409067890866e-10,2.106845954536788e-09,6.479634620961978e-09,-1.6360796080183379e-10,2.2560584904325764e-09,9.579263847747314e-09,-1.4359158899436362e-09,4.6174757320128323e-10,-6.219864771269625e-09,4.1299365992962927e-10,2.4983218399560813e-09,-4.952371010938752e-09,3.2019289822054813e-10,2.4011523373608966e-09,-6.036546116455006e-09,2.3453517180174417e-10,2.40556118336345e-09
