Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1400,-354763.1320352203,-317034.12793515413,-488045.12611140584,-282100.7515765945,-354788.02195993444,-258270.73802494688,57887.19749328803,-3877.672472440886,-44638.280807017116,-312499.6016810336,-336838.294833791,-313245.287929271,-356513.64957184874,-318150.041750779,-501441.3355634124,-357981.60771152144,-306221.1134801938,-478096.3779554905,-362777.86860844004,-318455.58057359717,-495054.2384362656
1401,-356405.3091589691,-316338.05318428087,-494247.63596284896,-288280.8512616613,-358080.86286874046,-253310.15181628152,53905.77983252148,-4753.651362579671,-42460.23900378734,-315887.81762698374,-339886.038635328,-307115.8652524357,-359859.0964680469,-317826.4835750409,-498788.04888687615,-360114.62414880877,-305408.6537574061,-474457.16507485264,-363382.08343217545,-318997.1222858361,-495951.19674728526
1402,-358352.6434559868,-316392.32037410594,-497159.58800628525,-294485.29557694163,-361322.8388899234,-249100.17644350187,49396.014989149524,-5327.094154651899,-40216.56124035304,-319674.5464807671,-343272.05713460076,-299513.63462201506,-362018.76822745224,-318886.7899994687,-493328.98865429184,-360915.9168507223,-306146.7201054558,-467537.31825917243,-363703.4635050821,-320448.1330391962,-493703.8458648074
1403,-360231.6455799431,-317572.15812253923,-496861.7059236061,-299990.94102071435,-364637.9976216565,-245379.21232099662,44128.882336617076,-5725.302136118611,-37998.27625235214,-323876.9039824066,-347270.07718947163,-290505.7041673696,-362925.3031357323,-321529.6343676093,-485458.6977498098,-360414.2154044415,-308425.7429456295,-458472.90836687246,-363545.25378139666,-323139.8611034165,-488608.36915595154
1404,-361758.74472806836,-320247.0586174357,-493523.2011073918,-305173.40453439235,-368004.6502926431,-242251.49249732174,38024.04022309219,-5936.6297153661135,-35848.20392629985,-328087.30821356236,-352050.1659176483,-279783.3663656873,-362762.33638976107,-325971.088798069,-474998.08517502685,-358931.58399538277,-312580.91717881156,-448097.23341108253,-362826.40418294066,-327432.1551456839,-480947.7814204544
1405,-362764.82805170724,-324277.54218595853,-487200.7301687118,-310376.62772068725,-370911.5603263733,-239495.17655458144,31289.50344233066,-5868.592848615637,-33896.24158515495,-332709.3755481194,-357435.9278949612,-267579.8437485037,-361723.83249570266,-331929.5950714686,-462001.04481498897,-356850.65764851205,-318088.4720164455,-436396.83438319084,-361695.4805820318,-332915.18768654694,-470865.00429105107
1406,-363118.5307033955,-329526.6660268592,-477791.9406247479,-315526.27227750106,-373391.48652012117,-236161.2104817594,23935.04164668044,-5504.58049971806,-32307.92058211904,-337261.12526243884,-363350.9866523962,-253845.55143593217,-360211.90403386386,-339136.5055055595,-446692.60916905996,-354116.48166823544,-324705.0891098207,-422840.7871494428,-360166.04411945475,-339200.79348188743,-458440.6554566133
1407,-362932.5721480493,-335786.08698763314,-465826.4675752791,-320079.1877169856,-375682.9850938711,-231598.26772568282,16631.049815244485,-5008.522725854833,-31393.65268979772,-342014.9372578254,-369312.1216255073,-238468.90583483042,-358747.24309499044,-346927.4236265217,-430178.38347082725,-351546.78792430233,-332102.72847996326,-407593.88118275895,-358832.21477322566,-345863.21573458,-444379.0844244336
1408,-362482.7718450589,-342724.2802614809,-452212.3075923631,-323955.50626311166,-377647.77327172965,-225739.39256544702,9894.86639374934,-4348.078691990773,-31295.2396077076,-346874.1741896549,-374979.5215004558,-222444.39279165742,-357648.4591624314,-354629.6327690154,-413702.9565460104,-349514.98395800823,-339722.3629302421,-391587.7310023454,-358051.4492679734,-352393.99731230177,-429425.97460944473
1409,-362162.61463540903,-350008.15890048334,-437274.4799568129,-327423.6783132098,-379033.48261958285,-218444.1708264465,2980.618403393808,-3477.20224882449,-32095.22337026382,-351924.09481228166,-380140.97949802433,-206573.9954542294,-357431.670535657,-361536.8754767983,-397766.051793394,-348319.7816273766,-347250.1956570932,-375354.8979673443,-358115.8206001241,-358442.4216639634,-413790.4188160692
