Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1340,-465805.30594150815,-122896.62246717246,58141.28705075131,-480357.56553380546,-118619.09065161877,191253.08992105428,-379574.7260810385,-216645.78172017712,103377.5292957318,-347045.1575298355,31293.936518591872,97379.45712820624,-483010.4057082054,-160738.56088526262,103409.77325697037,-441077.1114230226,-154801.92161482834,108342.52462718295,-478528.28734055336,-84196.43272124008,3661.0733684991837
1341,-467739.77097194287,-131741.10764583354,58151.52757411266,-481264.675107314,-129889.08071890089,202353.15057243913,-383171.2207799929,-219828.93972668634,105592.99944135675,-347105.90207617305,20194.91453174893,98053.19944471086,-485181.63754942943,-169867.0198429369,107252.02865226954,-446825.54601657484,-165846.23368993166,108909.55615615952,-480373.628038574,-89256.03213584844,3221.3283848599394
1342,-472468.3211250496,-140703.45961918874,60583.22103835163,-484745.7678084633,-139829.43417992306,213591.73451248812,-387481.980522105,-222168.02920365916,108834.89093639099,-354001.5330838555,6415.6207674748775,94178.18086836682,-490300.2934682794,-179285.69264599087,113019.28397742694,-455809.72225150897,-177429.51535521942,110523.17229357743,-484649.15600865684,-94914.98803587497,5614.742686405651
1343,-480469.039174492,-149936.2290339501,65228.40037488702,-491225.49911522213,-148564.8702012248,223484.27280928238,-392812.760189323,-224162.4378020315,113861.39982398473,-370257.54743938544,-11799.528774160028,84368.79484026128,-498988.97421633726,-188814.704055566,120650.54497981831,-468034.8273329172,-189358.4801704134,113091.07148955448,-492867.8690720914,-101263.0268538642,10096.860330650075
1344,-492279.7127517576,-159319.04015829726,71276.13870467298,-501259.55290408235,-156235.0224769292,230718.6166035245,-398482.19183066033,-225491.44107410073,121544.57157761554,-399263.45766393223,-36283.30736198259,66130.6750999091,-511730.0261196976,-198290.7450537086,129154.49008929192,-482750.96714758564,-201550.34690588515,115672.36140513,-506850.05393760244,-108495.71066116914,15657.49731463501
1345,-507562.78370526683,-168855.893388281,77116.49279285852,-515228.57558687375,-162306.6082667737,234621.9315017648,-405451.9456100996,-226324.62472843152,131821.97555533468,-443190.8834641178,-66954.61145370407,38723.27512822849,-528671.7958092722,-207840.52933103163,137171.68542777112,-499004.3999190872,-214102.8485800172,117160.35027104101,-527108.5512770852,-117485.92913108935,21104.666167997722
1346,-526617.929169805,-179552.065818507,82057.7078519298,-534563.6637509533,-166111.72843625702,234612.8282041544,-417263.55159516714,-227075.81329757033,145811.26304833058,-501998.2489845203,-102255.85920426522,5640.811974463483,-551030.2793542116,-218051.14465895348,144009.08433866675,-517321.8156445626,-228097.69632532116,117065.78427488822,-553636.2077917615,-129762.73669218844,25861.770741774388
1347,-549231.2134354642,-192045.47378258023,85763.75126694096,-559322.4012979346,-166909.78954511,231456.82356221258,-437696.37402195,-227985.9932878333,164467.73152614373,-567976.0169847223,-137441.3911594164,-21852.92424508121,-580165.8775264133,-228822.8313650412,149733.3697007271,-538624.7804114289,-244024.5930688939,115384.2873335186,-584752.7591461267,-146096.96342097397,29318.115889645145
1348,-575929.0132510744,-206349.69994923795,88118.53109906276,-587654.1713570334,-164252.39497930513,226342.00290812904,-467046.6257495709,-229738.5658888061,186072.48550691584,-627661.2680433587,-172206.7271108055,-33199.26198187265,-618225.4358122868,-238884.56428079214,155456.35665088787,-565090.2183107194,-261400.10533599445,113051.22459718978,-618695.6714138442,-167140.56303014918,32231.554414074737
1349,-609183.4179115568,-223264.02660556973,90589.54877728787,-619560.0355393651,-158604.61208071798,220193.48233735596,-504802.53621649183,-238677.39995266945,208024.9386449048,-673339.3089391848,-213789.69635165232,-32146.08617003777,-668309.6610295922,-247341.14998589747,164282.41562804754,-602100.6415129909,-280665.8468207931,112477.00245357453,-655638.8425803822,-193870.98093472223,37733.167428612345
1350,-651735.1624383745,-242751.07134467352,96135.8340558081,-654521.581609483,-151923.29578242952,212236.1932311119,-553841.2666594596,-252574.2214297152,225812.2622457547,-701190.8416559137,-262694.6065651892,-28177.754675043016,-729511.5433242678,-253163.63093900785,178779.64060265644,-653165.9959885743,-301264.3161124671,116148.05363535951,-696557.5056552179,-225273.8114143114,48589.136125927835
1351,-704587.3623106312,-265002.2119099196,106573.69143298827,-693285.7598465234,-145119.4970914312,200775.65549510912,-612653.0911201475,-265991.75507331354,232812.7741778823,-714898.6447323922,-308788.6979859645,-23035.452553751224,-796592.1398839324,-257580.7745125795,199307.74270377058,-715286.0917835254,-324169.9658689254,123204.50341601952,-743322.5008975443,-260006.56662906127,65546.94077432161
1352,-764216.1718228846,-289335.83343157865,121304.87986381828,-738467.8270854449,-138705.6998363104,187892.59130142533,-673592.3508161646,-277947.6976932317,226395.4300349661,-721764.315946923,-343822.5192035396,-16291.934122355739,-861102.9298901773,-266133.1113932289,223479.97514971043,-777785.8355835468,-350857.71047093667,132913.2594570645,-795222.4907597206,-295300.10404990695,88794.41485824122
1353,-827254.0647486614,-315613.8650192433,141328.78415705456,-790207.9077660752,-135709.33314313213,178179.71727955947,-733213.0857839861,-287470.42715319776,210183.57765699344,-724892.6941308278,-370536.53483825515,-10999.196031572761,-917178.0708667486,-290064.192958526,246473.8241854165,-830854.5969026516,-384971.99000044516,145474.807463234,-849592.0600510475,-330148.2920292171,118393.50663529878
