Timeframe,vg_v_x_point1,vg_v_y_point1,vg_v_z_point1,vg_v_x_point2,vg_v_y_point2,vg_v_z_point2,vg_v_x_point3,vg_v_y_point3,vg_v_z_point3,vg_v_x_point4,vg_v_y_point4,vg_v_z_point4,vg_v_x_point5,vg_v_y_point5,vg_v_z_point5,vg_v_x_point6,vg_v_y_point6,vg_v_z_point6,vg_v_x_point7,vg_v_y_point7,vg_v_z_point7
1330,-614952.9054130821,-6011.363459052358,166734.95354244512,-412414.2887795751,131307.69891796715,116282.49895168631,-624901.1609428341,-75065.3857242683,170729.46481938666,-471738.33132950653,208377.66869850637,15060.126108437584,-578639.7518303477,-26223.31222700484,164878.64947800364,-622852.3025159211,-3981.7097173175166,125926.75293446715,-590958.3822796574,-10731.807034735644,203284.21866280056
1331,-598217.5331733347,-17849.619288700997,158004.9568407242,-404048.7649355389,131526.69165013864,102296.1219040839,-616774.8279767777,-81542.80581122519,170958.27365017548,-458233.98933909053,195610.21973852502,14909.189112224738,-562782.2676955131,-39092.125347435016,154103.1234225674,-608491.5890461088,-16079.845660285908,119000.92915400815,-573236.0039897562,-24935.864584374685,199453.07842223137
1332,-581305.5895282357,-32698.894862695288,149955.02873195725,-396935.6836064011,131361.17107838264,88493.31572023338,-608117.9415927015,-87591.30205395255,172580.25395334142,-445251.79757344106,184157.25475397558,12209.028157814784,-546908.4750207769,-54319.46019106413,143865.7354450594,-593791.475777762,-30517.807600816053,112638.79980198876,-556640.8459904607,-41210.200467814364,196222.73244256037
1333,-564891.7303335895,-49325.37773169548,142512.18022207348,-391686.80849659705,130356.84447635329,75252.7002204973,-599010.5402757281,-92170.20024369932,175576.30953999434,-433630.29544614645,174465.99743928874,7763.826151062498,-531911.2853585472,-70674.80203984602,134048.3595060975,-579334.5180939626,-46001.69764011124,106860.93607901256,-541761.345169658,-58189.711666593226,193196.7101377047
1334,-549798.1969543898,-66250.5790678747,135476.18011430505,-389158.8157027529,128827.99591741298,62908.251250119065,-589711.4979848268,-94853.4777850704,180083.11998523585,-423940.84036607284,166663.84777187742,2718.86690217471,-518746.8628358388,-86771.74705928346,124815.85755162177,-565675.3506159403,-61383.03628435538,101540.29553047619,-529072.8686676328,-74577.43363505909,189997.63569796807
1335,-536083.7115623594,-83246.69922267183,128843.99790170733,-390223.75299677905,127289.53360092042,51942.890520948975,-580483.7882748223,-96140.49041149802,186112.80237459776,-416435.10352596006,159850.88048861414,-1852.2324449259813,-507467.6990197542,-102439.73412918748,116682.70104939103,-552761.1161041533,-76268.4790794831,96567.00056886967,-518345.39442743006,-90395.90377907259,187113.18431474635
1336,-524130.78022830014,-99697.99655602721,123339.15325492476,-395367.7194011034,125638.37956543009,42849.06075788283,-572225.7827092414,-96837.88247421524,193228.43137241274,-411196.7207185109,153006.47771975357,-4624.561465249566,-498524.52465843054,-117018.55758831388,110351.67245301977,-541230.2512641116,-89617.0396320732,92309.63619040122,-509829.89978349116,-105267.49082912965,185166.49785722396
1337,-514357.6452592851,-115144.95335858873,119561.60382332795,-404685.05548499245,123271.02835771057,35326.18450534818,-565804.1361901825,-97740.17309423984,200966.5120810218,-407613.4431326622,144926.39679018414,-5580.639153712433,-491928.8295687747,-130267.09918461827,106130.77114448842,-531505.2397196696,-100764.48956508315,89111.01938082327,-503168.00877935655,-119079.59145888453,184772.39567494902
1338,-506680.54905370635,-128862.92744562199,117740.48655047524,-417674.7807498371,120084.1221496906,29201.93756715739,-561853.3265219541,-99643.18844819331,208773.18153068208,-405505.28895025613,135188.6895670134,-5378.599181866835,-487431.6624086163,-141902.9243005558,104219.54011803273,-523596.70910065656,-109341.4733778439,87323.81766959031,-498032.10723092133,-131608.4101327813,186073.62040487034
1339,-501025.394690269,-140810.3931540482,118012.49527523507,-433932.3638707603,115860.17016435291,23833.90988148271,-560655.0670816138,-103250.93760786178,216729.98738021852,-404782.09386500437,123981.48457990438,-4877.506896028934,-484879.05835927464,-152307.5468360404,104604.20920680303,-517313.1113542059,-116057.92830599935,87546.37064978275,-494529.41598739906,-143244.49059835993,188965.7007035137
1340,-497623.77743622294,-151207.1398965824,120251.87492686909,-452395.49536735896,109620.8131553655,18722.543406623146,-562228.8686088757,-108629.66709345672,224164.85428588005,-405227.0158972009,112040.82045749163,-4732.129238758875,-484492.98120170285,-161870.09766933517,106983.01030912975,-512928.77619112266,-122013.34394757124,89939.94112487895,-492869.04500216217,-154214.24072755332,193055.7029557278
